Title,Context
Pound Political Trauma May Continue Even With BOE Back in Focus,"The pound began the week on the back foot as it faces political turmoil amid the Conservative Party¡¯s ongoing internal battle over Brexit.With a decision still awaited on whether the U.K. Parliament gets a say on the final deal to leave the European Union, sterling will likely be sensitive to the outcomes of a vote in the House of Lords Monday and another in the Commons Wednesday. Focus will return to monetary policy Thursday, when the Bank of England announces its latest decision, which may offer clues on the likelihood of an August interest-rate increase.¡°For the BOE, the message is unlikely to change and if anything, could firm up August pricing, supporting the pound,¡± said Jordan Rochester, an analyst at Nomura International Plc. ¡°However, the politics is on the edge of turning and it would take just one headline suggesting a leadership contest to wipe out any BOE-related gains.¡±Strategists and investors will be scanning media reports for any hint that Prime Minister Theresa May is facing a leadership challenge as her party remains split over the so-called ¡®meaningful vote,¡¯ which would let Parliament vote on the final Brexit deal. After a weekend dominated by political headlines, some hard-line pro-Brexit Conservative lawmakers have privately warned they could move to oust May if the parliamentary votes this week go against them.The pound fell 0.3 percent to $1.3243 on Monday, staying close to a 2018 low touched on May 29. Implied volatility on one-week sterling-dollar options has climbed ahead of the parliamentary votes.With monetary policy back on the agenda, U.K. government bonds could also be vulnerable after rallying last week amid broader haven demand. Investors are divided over the probability of an August rate increase, currently priced by money markets at just over 50 percent. After last week¡¯s mixed economic data brought little clarity, the central bank¡¯s comments on the economy will be keenly read by market participants.¡°The most the market can expect is an acknowledgment that things have not picked up as the BOE had been forecasting -- which would be bullish¡± for gilts, Societe Generale SA strategist Jason Simpson said. ¡°But the Monetary Policy Committee is likely to reiterate the view that rates still need to rise, in line with previous statements.¡±"
Nasdaq Stockholm Says MiFID II Creates New Conflicts of Interest,"Europe¡¯s revision of market rules was supposed to address a key conflict of interest in financial research. But in doing so, it may well have caused a ¡°more controversial¡± conflict, according to Nasdaq Stockholm AB.The issue in question is the finance industry¡¯s response to a requirement to unbundle research, following on from the revised Markets in Financial Instruments Directive. MiFID II was meant to provide transparency by splitting research from brokerage services in the fee structure. But Lauri Rosendahl, the president of Nasdaq in the Nordics, says there¡¯s now a questionable link between the research being done and those paying for it.Lauri Rosendahl¡°I¡¯m still worried that MiFID II will have consequences on research that the regulators didn¡¯t take into account when setting the regulations,¡± he said in an interview.Living with MiFID II: Six Months In, What¡¯s the State of Play?Since MiFID II took effect in January, banks have increasingly been getting their fees from the companies they analyze for investors. That means that the subject of the research is also providing the financial incentive to carry out the impartial analysis.¡°The question from a regulator perspective is: is this a better conflict of interest than the pre-MiFID II regulation? My personal opinion is that this is actually a more controversial and difficult situation. At least when it comes to the credibility of the research,¡± Rosendahl said.According to the Nasdaq Nordic president, last year about 300 of the roughly 1,000 listed companies traded on the exchange he helps oversee were paying for research on themselves. Rosendahl, who has himself worked as an equity analyst at investment banks including ABN Amro Holding NV, says that figure is heading toward 400, and ¡°will likely keep growing.¡±He says the development is a ¡°positive but controversial surprise.¡±Meanwhile, MiFID II is leading to several other changes in the way equity research is done. Rosendahl says the directive has ¡°led to brokers having a hard time in maintaining their previous levels of research coverage.¡± Some ¡°have also cut the number of equities analysts, making it more difficult for them to track"" small and medium-sized enterprises.¡°This is naturally bad for our listed companies, since we have a lot of listed SMEs,¡± he said.Then there¡¯s the matter of so-called systematic internalizers. These tend to be larger banks that decide to trade directly with clients outside organized markets like Nasdaq. More lenders are doing so, because it relieves their clients of new reporting requirements demanded by MiFID II.Rosendahl says this development also raises questions.¡°After the MiFID II implementation, we can see that there¡¯s a trend toward much more SI-regulated equity trading,¡± he said. ¡°I think regulators should look in the mirror and ask themselves whether the end result with bilateral SI trading is better than the multilateral dark-pool trading and broker-crossing networks that we previously had.¡±¡°With multilateral dark pools, there¡¯s at least the opportunity that end-investor interests can meet and match a buyer with a seller, while in SIs, everything is only done against the balance sheets of the banks and brokers.¡±Rosendahl says the question is whether, ¡°from a European risk perspective, is it good that 30 percent of all European equity trading is now bilateral against the bank balance sheets?¡±¡ª With assistance by Frances Schwartzkopff"
South Africa Police Probing Three Fraud Cases at Steinhoff,"A South African police unit is probing three cases of fraud at Steinhoff International Holdings NV after the embattled retailer submitted a series of allegations against former Chief Executive Officer Markus Jooste.Two of the cases were reported in Stellenbosch, where Steinhoff is based, and one in Johannesburg, Minister of Police Bheki Cele said in a reply to a parliamentary question emailed on Friday. As well as fraud, one of the Stellenbosch cases adds theft, extortion, forgery and a failure to report knowledge of wrongdoing to the list of offenses.Markus JoosteJooste, 57, quit as CEO of Steinhoff on Dec. 5, the day the owner of Conforama in France, Mattress Firm in the U.S. and Poundland in the U.K. reported accounting irregularities that have wiped more than 95 percent off the company¡¯s share price. Steve Booysen, the chairman of Steinhoff¡¯s audit committee, submitted the report against Jooste to the Hawks, as the police unit is known, at the end of January.Read More: How Jooste profited from Steinhoff property deals.Steinhoff itself is being investigated by legal authorities and regulators around the world and is being sued by a Dutch investor group and former Chairman Christo Wiese. The retailer has appointed PwC to probe its finances, with a particular focus on off-balance-sheet structures and deals with related parties. Its findings are expected to be published by the end of the year.Steinhoff¡¯s report accuses Jooste of being party to the falsification of accounting records, providing false or misleading information with a fraudulent purpose, being party to an act or omission by Steinhoff calculated to defraud creditors, employees or shareholders, and being party to untrue written statements required by the Companies Act, Cele said.Steinhoff shares fell 0.9 percent to 8 euro cents as of 11:31 a.m. in Frankfurt, where the company moved its primary listing in 2015. Separately on Friday, Steinhoff won support of creditors representing 85 percent of the external debt of Steinhoff Europe to extend a support period for the company to agree to a debt restructuring plan.¡ª With assistance by Janice Kew"
China Is Expected to Defend Yuan If It Weakens About 1% Further,"China¡¯s authorities, who¡¯ve allowed the steepest yuan decline since the 2015 devaluation, are likely to step in and defend the currency should it fall further to a key level.Most of the 18 traders and analysts surveyed by Bloomberg say policy makers will act to slow the currency¡¯s slide once it gets close to 6.7 per dollar in China¡¯s onshore market. That¡¯s about 1 percent below current levels. The yuan was little changed at 6.6266 a dollar in early London trading on Friday.The focus on 6.7 implies that Chinese officials are seen as comfortable with the currency¡¯s slump so far, even though its 11-day losing streak in Hong Kong through Thursday was the longest on record. Still, a pattern of stronger-than-expected daily fixings suggests policy makers remain on watch for any signs of the panic that spurred heavy outflows in 2015.The managed currency has slumped 3.4 percent since June 14 -- the worst performer in emerging markets -- as concern over a slowdown in the world¡¯s second-largest economy collided with anxiety over the trade war with the U.S. So far, the authorities refrained from heavy-handed intervention to stem the declines, a sign that some analysts say may suggest the policy makers are comfortable with the weakness and could allow even more.A selloff in Chinese equities, which tumbled into a bear market this week, also soured sentiment toward the yuan, which until a few weeks ago served as an anchor for developing economies battling against the headwinds of rising global interest rates and the resurgent dollar.China has already drawn on some of its arsenal to stem the drop, to little avail. The yuan is confined to a trading band 2 percent either side of a reference rate set by the central bank each day, but so far stronger-than-expected fixings have been largely ignored by the market.In order to prevent a break of 6.7, China could employ a number of tools, those surveyed said. Policy makers may continue to strengthen the reference rates, act to tighten liquidity levels between banks, or ramp up capital controls. A number of respondents also flagged the possibility of outright intervention.¡°Until there¡¯s any noticeable improvement in sentiment -- which could lead to capital inflows in the bond and equity markets -- the yuan will remain under pressure,¡± said Tommy Ong, managing director for treasury and markets at DBS Hong Kong Ltd. But while Chinese intervention may trigger short-term rebounds in the currency, Ong said he expects it to continue declining this year.Intervention was suspected on Wednesday, when the currency temporarily found a floor at 6.6 per dollar. At least one major Chinese bank was said to have sold dollars in the onshore market to keep the yuan stronger than 6.6. But while the currency did pare declines at the end of the Shanghai trading day, it extended losses on Thursday.China may act to slow the?yuan¡¯s slide once it gets close to?6.7?per dollar. Bloomberg¡¯s Tian Chen reports.China has a history of acting to prevent the yuan breaching psychologically-important levels, amid concern breaks hammer market confidence and can trigger a snowball effect. When the currency weakened beyond 6.7 per dollar in the Hong Kong market in September 2016, offshore yuan borrowing costs spiked, which some traders put down to Chinese intervention.The yuan¡¯s losses have fueled a wave of selling in emerging markets, with currencies from India to South Africa sliding as sentiment deteriorates. Developing-nation assets are set to cap their worst quarter since 2015, with the outlook for continued friction over trade between China and the U.S.A leaked report from a top Chinese think tank warned of the potential for ¡°financial panic¡± in the country amid the market selloff, read more here.On Friday, the overseas exchange rate climbed 0.1 percent after touching a seven-month low. Bloomberg¡¯s replica of China¡¯s CFETS RMB Index, which tracks the yuan against 24 currencies, is down 2.5 percent from this year¡¯s peak, to 95.66.Here are some other key points from Bloomberg¡¯s survey:¡ª With assistance by Sarah McDonald"
Contrarian Stock Signal Echoes in Record Small-Business Optimism,"Will record levels of optimism among U.S. small-business owners keep the fire burning beneath a small-cap rally that itself has reached new highs? Not if history is a guide.While the number of respondents saying it¡¯s a good time to expand reached a record 34 percent last month, according to a National Federation of Independent Business survey released Tuesday, previous peaks have actually led to short-term stock declines.Since 1979, the Russell 2000 Index has declined on average 2.9 percent in the six months following a peak in the NFIB ¡°Good Time to Expand¡± gauge, according to a study from Jason Goepfert, president of Sundial Capital Research Inc. The average decline over a three-month period was 0.4 percent, he said.¡°Overall, it¡¯s a mild warning sign that things have gotten about as good as they can get for the small guys out there,¡± Goepfert said in a note to clients Tuesday. ¡°The highest levels of optimism have led to mixed returns.¡±Small-business sentiment has remained high since President Donald Trump¡¯s election in late 2016, with tax cuts, reduced regulations and solid economic growth supporting the optimistic outlook. The NFIB survey suggests little negative impact from this year¡¯s trade disputes, alongside freight bottlenecks that have pushed up costs for some businesses.The Russell 2000 rose to a fresh record Tuesday, extending its year-to-date gain to almost 10 percent. The gauge has risen about 46 percent over the last two years, outperforming the 34 percent gain in its larger-capitalized counterpart, the S&P 500."
Japan¡¯s Jobless Rate Falls to Lowest in a Quarter Century,"Japan¡¯s tightest labor market in decades just got even tighter, driving companies to hire more workers in full-time, permanent positions. That¡¯s positive news for the Bank of Japan as it struggles to generate 2 percent inflation. Consumer prices in Tokyo, a leading indicator for the nation, rose more than expected after two months of slower increases.The employment data released on Friday point to stronger upward pressure on wages, which so far haven¡¯t responded as expected to the super-tight labor market. As companies struggle to find workers they¡¯re hiring more staff on permanent, full-time contracts, which generally means higher pay and benefits. A job-applicant ratio at a 44-year high also points in the right direction for wages and inflation.Still, challenges to the economy abound. The export-dependent nation faces fallout from global trade tensions and the slowing of growth in China. Japan¡¯s factory output fell slightly in May after rising for three consecutive months.¡ª With assistance by Won Jae Ko"
Apollo Confidentially Files to Start Pipeline Buyout Company,"Apollo Global Management LLC has formed an energy-focused blank-check company to invest in oil and gas pipeline infrastructure in North America, according to people familiar with the matter.The New York-based firm has confidentially registered a special purpose acquisition company, or SPAC, with the U.S. Securities and Exchange Commission, said the people, who asked to not be identified because the matter isn¡¯t public. Apollo has a management team in place for the SPAC, which aims to raise capital this year, the people said.A spokesman for Apollo declined to comment.Carlyle Group LP, TPG, Riverstone Holdings and other private equity firms have teamed up with experienced oil and gas executives in the last three years to create energy SPACs, which raise money from public investors for buying a target they haven¡¯t identified yet.SPACs have become a popular way for buyout firms to invest in the U.S. energy sector while offering an alternative form of financing to companies emerging from the oil rout.Most have focused on oil and gas exploration, such as TPG Pace Energy Holdings Corp., which TPG formed with Steve Chazen, the former chief executive of Occidental Petroleum Corp. TPG Pace announced plans in May to buy drilling acreage from EnerVest Ltd.Apollo, co-founded by Leon Black, is an active player in North American energy. Last week, one of its portfolio companies announced a merger with another company to create a new Permian Basin explorer called DoublePoint Energy LLC. Apollo is also interested in buying some of BHP Billiton Ltd.¡¯s U.S. shale assets, people familiar with the matter said last week."
"The End of a Big Week, Draghi's Unfinished Journey: Eco Day",Good morning Americas. Here¡¯s news from Bloomberg Economics to help round off your week:
Saudi Aramco Taps Silicon Valley Startup in Plastics Push,"Saudi Arabian Oil Co., the world¡¯s biggest oil exporter, struck a deal to use a California startup¡¯s chemical technology in new multi-billion-dollar crude-to-chemical factories.Saudi Aramco, as the oil giant is known, plans to employ Siluria Technologies Inc.¡¯s process for converting natural gas left over from the crude-refining process into ethylene, the primary building block for plastics, according to a joint announcement by the companies on Wednesday. Terms of the deal were not disclosed.Siluria¡¯s technology, known as oxidative methane coupling, is an alternative to the chemical industry¡¯s traditional high-temperature method of processing gas, called cracking. Closely-held Siluria, which is based in San Francisco and has offices in Menlo Park, California, is headed by former Royal Dutch Shell Plc executive Robert Trout.¡°Maximizing the output of high-value chemicals products from our future crude oil processing projects is one of the key objectives in our downstream technology strategy,¡± Ahmad Al Khowaiter, Aramco¡¯s chief technology officer, said in the statement."
May Scrambles for Brexit Compromise as Tory Tensions Rise,"U.K. Prime Minister Theresa May is in a frantic search for the perfect compromise. Her mission is clear: to find a way to unite the warring Brexit factions in her party before they derail the government.May¡¯s officials started work Wednesday drafting a new clause in her key piece of Brexit legislation, after she narrowly avoided a defeat in Parliament by offering last-minute concessions to pro-EU lawmakers. The new text will probably reduce the chances of Britain tumbling out of the bloc without a deal -- something businesses and investors fear as the worst case scenario.But as talks get going, May has two factions to please. The text needs to honor her pledge to pro-EU Tories that she¡¯ll take account of their concerns about the possibility of leaving the bloc without a deal and give Parliament more say over the process.If she fails to deliver, she will lose their goodwill and face a backlash she won¡¯t be able to contain, people familiar with the matter said. Within hours of the agreement being struck, each side had a different version of what had been agreed, with the pro-Brexit camp saying the rebels were overstating the scale of the concession.¡°I trust our PM to honor the undertaking she gave,¡± said Anna Soubry, one of the pro-EU Tory rebels. ¡°I am sure a sensible amendment will be forthcoming which we can all agree to.¡± As of midday on Tuesday, talks were ongoing.Anna SoubryMay is racing against the clock on Brexit and fighting battles on multiple fronts. The U.K. will leave the EU in March next year, but talks in Brussels are struggling to make headway. The slow progress is in part because the premier can¡¯t get her cabinet to agree on the kind of post-Brexit trade regime they want the U.K. to have with the EU.In London, Parliament is considering crucial pieces of law that need to be passed in order for the U.K. to leave the bloc without causing legal chaos. Opposition lawmakers are trying to change the draft to bind the U.K. more closely to the EU¡¯s trade rules.Read more: Stuck In the Middle: These Are Theresa May¡¯s Four Brexit OptionsAt the same time, May must avoid angering pro-Brexit Tories, some of whom have threatened to try to oust her as leader if she betrays their vision of a clean break from the bloc.¡°It is hugely irresponsible, and I can¡¯t believe those who are perpetrators of this don¡¯t know what they are doing,¡¯¡¯ Conservative lawmaker Andrew Bridgen told the BBC¡¯s Today program on Wednesday. ¡°This is a betrayal of the British people.¡¯¡¯¡°Being in the European Union is like being pregnant -- you¡¯re either pregnant or you¡¯re not. You¡¯re either in the EU or you¡¯re not,¡¯¡¯ he said.The problem for the prime minister is that she can¡¯t keep both sides happy. One pro-Brexit minister insisted the rebels had lost, and warned that if they continued to fight May they would only make a ¡°no deal¡± divorce more likely.The premier now has until Friday to draft a legally watertight amendment to the EU Withdrawal Bill which will be acceptable to both sides.There¡¯s no time to get the wording of the compromise text wrong because it will probably be debated and voted on in the House of Lords on Monday, according to one senior government official. If the compromise fails, the rebels are likely to revert back to their original motion, which would potentially strip May of control over running the Brexit negotiations and hand it to Parliament, the official said, speaking on condition of anonymity.¡°I have a problem both constitutionally and politically¡± with a resolution that has the House of Commons ¡°directing the process,¡± Solicitor general Robert Buckland told the BBC on Wednesday. ¡°There is no gap here. The government is very clear about its commitment to a new amendment.¡¯¡¯Nicky MorganEither way, the chances are increasing that Parliament will get a greater say over Brexit.¡°A lot of people voted to take back control, well a lot of control is now going to come back to our sovereign Parliament,¡± Nicky Morgan, a high-profile pro-EU lawmaker, said in an interview on Bloomberg TV on Wednesday. ¡°As elected representatives I think it¡¯s right that we do have a say.¡±"
Five Things You Need to Know to Start Your Day,"Want to receive this post in your inbox every morning??Sign up hereTrump tries?to convince the world his approach to North Korea is the right one,?Bitcoin¡¯s slide continues?and here comes the Fed¡¯s interest-rate decision. These are some of the things people in markets are talking about.U.S. President?Donald Trump tried to??sell?his nuclear agreement with?North Korea?on Tuesday as different from, and better than,?any that has come?before. Measured against previous deals, though, the two-page document had similar language and was distinctive mainly for being vague. The statement Trump signed with North Korean leader?Kim Jong Un?committed them both to the ¡°complete denuclearization¡¯¡¯ of the Korean Peninsula, as well as to a new relationship, a peace regime and security guarantees, none of which were defined. The omission of the words ¡°verifiable¡¯¡¯ and ¡°irreversible¡¯¡¯ from the phrasing on denuclearization suggested North Korean resistance to Trump¡¯s requests.The biggest winner from?Trump¡¯s?summit?with North Korean leader?Kim Jong Un, other than Kim,?is?the Chinese?president, Xi Jinping. In talks with Kim on Tuesday in Singapore, Trump committed to an open-ended negotiating process and said the U.S. would?suspend military exercises with South Korea. Given that North Korea has halted missile and nuclear tests, for now, that amounted to the very dialogue and ¡°suspension for suspension¡± model that China has advocated for years.?Japan, the chief U.S. ally in the region, got none of what it wanted.?Kim made no promise to address the issue of Japanese citizens abducted by North Korea?and offered no limits on his ballistic missile programs.Bitcoin tumbled to its lowest level since February as the meltdown in the world¡¯s largest digital currency accelerates, renewing concern about the long-term viability of the alternative to traditional currencies. The price of the digital coin fell below $6,500, bringing the slide for the year to more than 50 percent. It¡¯s down from a record high of $19,511 in December, the culmination of the year¡¯s more than 1,400 percent surge as Bitcoin burst onto the mainstream.?Cryptocurrencies have been beset by a string of bad news,?most recently the hack of the South Korean cryptocurrency exchange Coinrail?over the?weekend, which?appeared to result in a loss of an unknown quantity of digital currency.The Federal Reserve won¡¯t steepen the path of interest-rate increases this year in the face of accelerating U.S. growth, according to economists?surveyed by Bloomberg. In a poll conducted June 5-7, the proportion of respondents who expect at least three additional rate hikes in 2018 dropped slightly?from the?March polling. The median estimate now is?two more increases this year, which matches the Fed¡¯s own projections back in March. Although all 37 respondents predicted a quarter-percentage-point rate hike when policy makers conclude their two-day meeting in Washington on Wednesday, bond?traders, for whom the stakes are huge,?will be on the edge of their seats.In China¡¯s volatile equity market, at least one thing¡¯s been certain: Initial public offerings price low and then rally like crazy. An unwritten valuation cap?imposed by regulators?has?listings all launching?at about 23 times earnings or less. Entrepreneurs have had no choice but to pocket an artificially low amount and then watch their shares soar by the daily limit, over and over again. But this defining,?and distorting,?characteristic of the $7.3 trillion market may be about to change, at least for some companies. Analysts say firms selling the first?Chinese depositary receipts won¡¯t be subject to the valuation restriction. Xiaomi Corp. is?planning?to raise $5 billion, or half of its total offering, from the new type of security,?a high-profile attempt by Chinese officials to lure big tech companies?back home.This is what caught our eye over the last 24 hours."
This Analyst Uses 80s Rock Classics to Write About Oil Stocks,"Over in the securities industry, analysts are trying anything they can to stand out from the crowd.Take Laban Yu of Jefferies Group LLC in Hong Kong, who has written recent reports with titles including ¡°Livin¡¯ on a Prayer,¡± ¡°This Thing Called Love I Just Can¡¯t Handle It,¡± and ""I Just Can¡¯t Get Enough.¡±The catch? They¡¯re about Chinese oil, gas and coal companies.While Yu is clearly amusing himself -- and his readers -- by invoking Bon Jovi and Queen to make serious points about PetroChina Co. and China Shenhua Energy Co., there¡¯s also method to this frivolity. The goal, the 43-year-old Cornell University graduate said, is to make the reports impossible to ignore in a world of shrinking budgets for equity research and information overload from the internet.¡°It started as a joke,¡± Yu said in an interview. ¡°Then I found out it¡¯s a bottomless pit. I could do this forever. And it gets to the point where, if you have a good title, the note writes itself.¡±Yu¡¯s Livin¡¯ on a Prayer note, for example, was about how the top Chinese coal companies posted strong earnings on the back of a government-supported coal price, and how he believed the policy had reversed. He turned to Depeche Mode -- I Just Can¡¯t Get Enough -- to commentate on supply and demand in the natural gas market.Yu, who was voted the most popular energy analyst in Asia for three years running in the Asiamoney Brokers Poll after he started at Jefferies in 2011, has good reason to want to differentiate himself. Spending in the $5 billion investment research industry is estimated to fall on average by as much as 30 percent due to the European Union¡¯s revised Markets in Financial Instruments Directive, according to management consultancy Oliver Wyman.It¡¯s perhaps not surprising that Yu, who¡¯s now head of Asia oil and gas research at Jefferies, is doing things differently from his peers. Born in China and raised in the U.S., Yu didn¡¯t take the standard path to becoming an analyst. Instead, he studied mechanical engineering and international relations before setting off to spend two years in Cameroon with the Peace Corps, and helping to run a startup in China that later failed.Sometimes, Yu said, he searches for lyrics to describe a situation. Others, he starts with the artist he wants to use. But every now and again, ¡°I hear some song title and think, that¡¯s exactly what¡¯s happening to PetroChina,¡± he said."
Argentina Peso Falls as Government Fails to Ease Market Concerns,"Argentina¡¯s announcement that it plans to sell $7.5 billion in the foreign exchange market to help stabilize the peso and support its budget failed to prevent the currency from falling to a new record low on Wednesday.The peso initially rose after the Finance Ministry said the central bank will conduct daily auctions on behalf of the Treasury to sell the dollars. But gains were short-lived as analysts said the measure was unlikely to provide enough support for Argentina¡¯s economy in the face of high inflation, a widening budget deficit and higher global borrowing costs.¡°The gap between inflows and the current account deficit is still huge,"" said Ezequiel Zambaglione, head of research at Buenos Aires broker Max Valores. ""But the sense is that inflows aren¡¯t guaranteed this year. We need either foreign investors to return, or the current account deficit to drop.""Earlier on Wednesday, the Finance Ministry said it would use the funds to support budget expenditures once it gets access to a credit line from the International Monetary Fund. In a separate statement, the IMF said Argentina requested 30 percent of a the $50 billion credit line to be disbursed upon approval and half of that be made available for budget support. The Fund¡¯s executive board will vote on the credit line June 20.Argentina¡¯s economic plan ¡°creates a solid basis for the $50 billion stand-by arrangement,¡± IMF Managing Director Christine Lagarde said in a statement. ¡°The plan will also help reinforce Argentina¡¯s institutional framework. For example, it has measures to improve the medium-term budget process and to ensure central bank independence.¡±The peso fell 2 percent to end the session at 26.26 per dollar, a record low. It is down 29 percent this year, the worst performer in emerging markets.Argentine bonds also fell, with the yield on the government¡¯s bond due in 2117 surging 7 basis points to a record 8.6 percent after the Federal Reserve raised rates for the second time this year and upgraded their forecast to four total increases in 2018. Argentina¡¯s central bank held its key rate at 40 percent Tuesday.¡ª With assistance by Andres R Martinez, and Carolina Millan"
Goldman Says U.S. Investors Warming to Chinese Bond Market,"U.S. investor interest in China¡¯s bonds has seen a ¡°notable improvement¡± as the market is being steadily opened up to foreigners, according to Goldman Sachs Group Inc.The launch of Bond Connect in July last year, coupled with China¡¯s inclusion in the Bloomberg Barclays Global Aggregate Index from April next year, has served to pique their interest over the last 12 months, Goldman analysts Danny Suwanapruti and Andrew Tilton wrote in a note Wednesday, following a visit to meet U.S. institutional investors.¡°The feedback during last week¡¯s trip is that, although it could still be a few years away before China is included into all three major global bond indices; most investors agree it really is just a matter of time,¡± they said. ¡°Several investors that we spoke with are in the process of setting up accounts and have shown significantly increased levels of interest in China¡¯s bond market.¡±Inclusion in global bond indexes such as Bloomberg Barclays, JPMorgan Chase & Co. and Citigroup Inc. is expected to increase the importance of the Chinese fixed-income market to foreign investors. Goldman expects the market to almost double in size within the next four years and sees foreigners owning around 22 percent of all Chinese government bonds by the end of 2022, equivalent to about $900 billion.While investors appeared more eager to get a foothold in the nascent market, there were concerns about whether its prominence could drain liquidity from other emerging markets, in particular as it may come at a time key global central banks are becoming less accommodative, according to the strategists.¡°Given the notion that core yields are moving higher and China¡¯s fixed income markets are emerging as a new asset class compounded some investor concerns over the potential pull out of EM local currency fixed income markets over the coming years,¡± Suwanapruti and Tilton said.Meanwhile, U.S. investors expected the Chinese yuan to drift sideways in the near term as authorities don¡¯t want the currency to strengthen much further, nor do they favor a sharp depreciation that may be ¡°mistakenly construed as retaliation on trade wars,¡± the analysts wrote."
Russia to Seek Oil-Cuts Rollback for Most OPEC+ Nations,"Russia plans to propose that OPEC and its allies be allowed to return production to October 2016 levels, rolling back most but not all of their output cuts within three months, according to a person familiar with Moscow¡¯s thinking.All the nations would proportionally share out a 1.8 million barrel-a-day increase to their output limit starting as soon as July, the person said, asking not to be identified because the information isn¡¯t public. The actual boost in supply to the market would be less than that because some states, notably Venezuela, Angola and Mexico, aren¡¯t able to increase, the person said.Russia and Saudi Arabia, leaders of the group of 24 producers, already suggested boosting output to stop prices going any higher and hurting oil demand. Moscow¡¯s new proposal would go further, effectively ending the cuts for any country that has the ability to pump more crude. Such a move would have to be agreed by other members, several of whom have already come out in opposition.Some of the biggest OPEC + cutters may be unable to restore output Source: IEAThe plan could be the first of many proposals and counter-proposals from members of the group, subject to change during negotiations. Given the backing of the two largest producers participating in the accord, an output increase ¡°looks inevitable¡± Citigroup Inc. analysts led by Ed Morse said in a report on Tuesday.The group¡¯s Vienna meeting next week would be a ¡°crunch time¡± for OPEC, Warren Patterson, a commodities strategist at ING Groep NV, said in an emailed note Wednesday. ¡°We would not rule out a scenario where Russia decides to exit the deal altogether¡± if no consensus is reached, he said.Russia and Saudi Arabia are set to discuss oil policy on Thursday as teams from the two nations meet in the opening match of the soccer World Cup in Moscow. President Vladimir Putin will host Saudi Crown Prince Mohammed Bin Salman, while energy ministers Alexander Novak and Khalid Al-Falih will also meet.Putin and the crown prince will have a talk on the OPEC+ deal and the oil market situation, yet pulling out of the accord isn¡¯t something they plan to discuss, Kremlin spokesman Dmitry Peskov said Wednesday.The Organization of Petroleum Exporting Countries and several non-members agreed in late 2016 to curb output by 1.8 million barrels a day in order to eliminate a supply glut that was weighing on prices. For most countries, that reduction was relative to their October 2016 production.Many nations have gone further than their pledged cuts. Saudi Arabia said it was cutting deeper to lead by example. Others, notably Venezuela, have experienced involuntary declines in production due to problems in their oil industries. In April, the group¡¯s total reduction added up to almost 2.5 million barrels a day, according to the International Energy Agency.See also: IEA Says Iran, Venezuela Oil Output Could Slump by Almost 30%Because the cuts have gone deeper than intended, overall supply from the group would still be about 1 million barrels a day below the pre-cuts levels even after the 1.8 million-barrel quota increase, the person said.OPEC will probably overcome internal disputes to agree on a production increase next week, a Bloomberg survey shows. ING sees a possible expansion in the group¡¯s supply of between 800,000 and 1 million barrels a day this year. Citi predicted a smaller gain of about 500,000 barrels a day.Russia boosted its crude production to the highest in 14 months in the first week of June as some companies breached their caps ahead of Vienna talks, a person with knowledge of the matter said Monday.Moscow believes the new arrangement it proposes would provide stability for the oil market through a period of high demand during the northern hemisphere summer, the person said. The country would also support keeping the alliance between OPEC and other producers into 2019 -- either with or without new quotas depending on the requirements of the market, the person said.¡ª With assistance by Ilya Arkhipov"
